Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95,peak_dense_num_na_80,matched_random_num_na_80,peak_dense_num_na_90,matched_random_num_na_90,peak_dense_num_na_95,matched_random_num_na_95
158338,0.174290767794429,-0.0101408448790397,0.17429076779443,0.17429076779443,0.17429076779443,0.17429076779443,0.17429076779443,0.17429076779443,0,0,0,0,0,0
160123,0.181127553677648,-0.0115742077648471,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
161327,0.166417913885473,-0.00857723965794958,0.155222073277656,0.159559620820915,0.155148090822404,0.159982285961284,0.158847341800141,0.161434185311609,0,0,0,0,0,0
161731,0.146330445653422,-0.0124792137755889,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
161832,0.15098156768382,-0.00759442493729395,0.149321673389656,0.149830114705962,0.14924135592381,0.149727096841479,0.149321673389656,0.149830114705962,0,0,0,0,0,0
162026,0.155880330299342,-0.0125506661484013,0.155880330299342,0.150708850231287,0.155880330299342,0.150413360962807,0.155880330299342,0.150708850231287,0,0,0,0,0,0
162329,0.16581981129314,-0.00926672686013139,0.158674770598083,0.162126548105753,0.158576698926275,0.162136487345434,0.158674770598083,0.162126548105753,0,0,0,0,0,0
163129,0.135118973156637,-0.0105041695586906,0.135118973156637,0.135118973156637,0.135118973156637,0.135118973156637,0.135118973156637,0.135118973156637,0,0,0,0,0,0
163836,0.159609580048379,-0.00926615416785273,0.156092808442922,0.158028306355642,0.156000634993586,0.157806455334448,0.156092808442922,0.158028306355642,0,0,0,0,0,0
165436,0.195583213605533,-0.00813980637508771,0.192024844131111,0.190607199538909,0.19205420745765,0.190553924454542,0.193731292057871,0.192285909986969,0,0,0,0,0,0
165638,0.199158370246919,-0.00996777158896539,0.195278701811324,0.192708342177975,0.195304838822859,0.192741794658129,0.195278701811324,0.192708342177975,0,0,0,0,0,0
165941,0.197713439307472,-0.00841698125101161,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
166438,0.152733180602587,-0.00930781884064585,0.149881976250673,0.151112165460338,0.14992796341764,0.151118726371611,0.149881976250673,0.151112165460338,0,0,0,0,0,0
166640,0.20184346559022,-0.00766363028588043,0.192121027560279,0.193762545443583,0.192096322647752,0.19412177837956,0.193555471880761,0.196009213101951,0,0,0,0,0,0
168240,0.191070529500614,-0.00992819585410906,0.177858157808195,0.184797375841028,0.177707498709931,0.18445678596991,0.191070529500614,0.186929742106532,0,0,0,0,0,0
170631,0.199812578092462,-0.0105490517839789,0.199812578092462,0.197442070896387,0.199812578092462,0.197477998519136,0.199812578092462,0.197442070896387,0,0,0,0,0,0
171330,0.294485971934854,-0.00810938366329938,0.262521270301703,0.280690052644687,0.261203291152221,0.28120605523776,0.262521270301703,0.280690052644687,0,0,0,0,0,0
171633,0.285431984720792,-0.00770848048872602,0.285431984720792,0.285431984720792,0.285431984720792,0.285431984720792,0.285431984720792,0.285431984720792,0,0,0,0,0,0
173334,0.169428806584362,-0.0111336274348423,0.154136108641975,0.158620873525377,0.15420384691358,0.158933752263375,0.169428806584363,0.161718551714678,0,0,0,0,0,0
173839,0.150354431977865,-0.0106002236451723,0.150354431977865,0.150354431977865,0.150354431977865,0.150354431977865,0.150354431977865,0.150354431977865,0,0,0,0,0,0
174437,0.219752111000502,-0.00925922686797844,0.195435651407981,0.200223367511656,0.195259794635599,0.200426046288981,0.203668347516481,0.206107231795134,0,0,0,0,0,0
175035,0.146239769823646,-0.010584789244311,0.146239769823645,0.142619654438083,0.146239769823645,0.14239178096259,0.146239769823645,0.142619654438083,0,0,0,0,0,0
175237,0.190227439649073,-0.00965861444958101,0.179945404212581,0.179395532876637,0.17989938625265,0.179671601530139,0.179945404212581,0.179395532876637,0,0,0,0,0,0
175439,0.160706843880182,-0.00951225804403885,0.160706843880182,0.160706843880182,0.160706843880182,0.160706843880182,0.160706843880182,0.160706843880182,0,0,0,0,0,0
176037,0.228328336376307,-0.0102605162595602,0.20633110115253,0.210153132483061,0.20596560229582,0.210121085558664,0.221873648286625,0.219147533331213,0,0,0,0,0,0
176239,0.223880897878659,-0.0105191130641847,0.223880897878658,0.223880897878658,0.223880897878658,0.223880897878658,0.223880897878658,0.223880897878658,0,0,0,0,0,0
176441,0.284234991789414,-0.00786598379465603,0.284234991789413,0.281582125040143,0.284234991789413,0.281612678269835,0.284234991789413,0.281582125040143,0,0,0,0,0,0
177140,0.272647125908435,-0.00720446367293272,0.272647125908435,0.272647125908435,0.272647125908435,0.272647125908435,0.272647125908435,0.272647125908435,0,0,0,0,0,0
178647,0.128269332510305,-0.00795131607450834,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
178748,0.203307708572593,-0.00835195743160691,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
179346,0.248452761971367,-0.00956862364830443,0.231433154941872,0.240534533540245,0.23124243534901,0.240233478852243,0.231433154941872,0.240534533540245,0,0,0,0,0,0
181131,0.229018055152464,-0.00892188717819005,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
181636,0.147105331359954,-0.00957195122925847,0.146900052176077,0.145742735023544,0.146888877704374,0.145673275192463,0.146900052176077,0.145742735023544,0,0,0,0,0,0
183034,0.182530284053834,-0.00699373461731316,0.180073972356808,0.179894335475037,0.179981559967677,0.179882050649873,0.180073972356808,0.179894335475037,0,0,0,0,0,0
185139,0.122729668045715,-0.0112859322333704,0.122729668045715,0.12085619552186,0.122729668045715,0.120773080735743,0.122729668045715,0.12085619552186,0,0,0,0,0,0
186848,0.239297406825581,-0.00896354514339492,0.235234369237073,0.236954427672669,0.235127878332535,0.23665366284938,0.235234369237073,0.236954427672669,0,0,0,0,0,0
187345,0.251522046365826,-0.00842531850348686,0.24353484350734,0.24436514053209,0.243564289657146,0.244098706752461,0.24495720286952,0.246743154330997,0,0,0,0,0,0
187547,0.139246096406884,-0.0115155315949234,0.139246096406884,0.139246096406884,0.139246096406884,0.139246096406884,0.139246096406884,0.139246096406884,0,0,0,0,0,0
188347,0.232772744720491,-0.00771335743183408,0.220327381405345,0.228828862075613,0.220468593490476,0.228668839500672,0.220327381405345,0.228828862075613,0,0,0,0,0,0
188448,0.231478154858687,-0.00666098670781979,0.205780367046723,0.207437575839559,0.210161728361785,0.209527515362114,0.218950116906763,0.221120611517969,0,0,0,0,0,0
188549,0.212357952388145,-0.00779669211624537,0.187192005929184,0.196657379351518,0.186457410223479,0.196976320404572,0.208818346671144,0.20669537492175,0,0,0,0,0,0
188751,0.181737045813136,-0.00985734427777243,0.181737045813136,0.181737045813136,0.181737045813136,0.181737045813136,0.181737045813136,0.181737045813136,0,0,0,0,0,0
189652,0.255289895329915,-0.00692532563753373,0.246039929597199,0.245088669967207,0.245666537922626,0.244789364654057,0.246039929597199,0.245088669967207,0,0,0,0,0,0
191336,0.286573086256631,-0.00773981842086329,0.276959071696287,0.28147147049012,0.2770005389813,0.281694379811749,0.276959071696287,0.28147147049012,0,0,0,0,0,0
191841,0.124606630940083,-0.00921621142174587,0.122992581353306,0.123387697249483,0.12307068052686,0.123295070054235,0.122992581353306,0.123387697249483,0,0,0,0,0,0
191942,0.20678822726318,-0.00998490180634319,0.20678822726318,0.199698167926906,0.20678822726318,0.199406067265281,0.20678822726318,0.201987401281244,0,0,0,0,0,0
192237,0.239807760768957,-0.00869286361298999,0.239807760768956,0.23183193030339,0.239807760768956,0.231265705470511,0.239807760768956,0.23183193030339,0,0,0,0,0,0
192540,0.22728001747166,-0.0099388693811438,0.215942208731734,0.214014511089271,0.215690569057417,0.214379510668405,0.215989513591722,0.221715598688715,0,0,0,0,0,0
192843,0.225891515669001,-0.0098576815358659,0.223530393839131,0.223078805028283,0.223468509597622,0.222662341134309,0.223530393839131,0.223078805028283,0,0,0,0,0,0
194140,0.141484693476897,-0.00957888485590089,0.133447318438503,0.136763304180181,0.133227070160406,0.136672305118543,0.133447318438503,0.136763304180181,0,0,0,0,0,0
194443,0.26720866640875,-0.00727460328172065,0.261755324780811,0.262810342765178,0.261883704097474,0.262721070554655,0.261755324780811,0.262810342765178,0,0,0,0,0,0
194645,0.250412995162139,-0.00745539768014883,0.246804529956185,0.247065474927484,0.246764662134483,0.246777157088326,0.246804529956185,0.247065474927484,0,0,0,0,0,0
195445,0.246126147884271,-0.00752714077030527,0.237403440377317,0.241659639889085,0.237082479656742,0.241671384768636,0.237403440377317,0.241659639889085,0,0,0,0,0,0
195849,0.201252829334541,-0.00598784819677077,0.191389668779237,0.194339758186208,0.191408318495046,0.194376126641014,0.191389668779237,0.194339758186208,0,0,0,0,0,0
197348,0.237016140759052,-0.00937506784040446,0.237016140759053,0.237016140759053,0.237016140759053,0.237016140759053,0.237016140759053,0.237016140759053,0,0,0,0,0,0
198047,0.21946293431121,-0.0104298292044162,0.21946293431121,0.216234748705637,0.21946293431121,0.216127544071408,0.21946293431121,0.216234748705637,0,0,0,0,0,0
198350,0.196159783191761,-0.00770103033355182,0.196159783191761,0.193236242748921,0.196159783191761,0.193411625878027,0.196159783191761,0.193236242748921,0,0,0,0,0,0
198653,0.1248301228696,-0.00713776308627296,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
199150,0.201500148440859,-0.0141819788958047,0.176588916074609,0.187490400611167,0.1837972349051,0.19213674666264,0.201500148440859,0.196713692133658,0,0,0,0,0,0
199453,0.211521220138239,-0.00678409913659445,0.211521220138238,0.210123151142999,0.211521220138238,0.210086044059942,0.211521220138238,0.210123151142999,0,0,0,0,0,0
200311,0.197931363656723,-0.0110583694459375,0.194664649213174,0.195416612311131,0.194677821448833,0.195233678176042,0.194664649213174,0.195416612311131,0,0,0,0,0,0
201111,0.211944363735537,-0.00998997238864102,0.2099897740824,0.20448177521074,0.209935729169824,0.204380081541745,0.2099897740824,0.20448177521074,0,0,0,0,0,0
201515,0.123947284514826,-0.013726490594112,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
204319,0.246096163738514,-0.00842168138928878,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
204521,0.251308509244862,-0.0101168140929219,0.251308509244863,0.244208487643236,0.251308509244863,0.243909818757606,0.251308509244863,0.244208487643236,0,0,0,0,0,0
204622,0.179627578828666,-0.0107563642672295,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
205725,0.162251262680172,-0.0111343398147985,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
206222,0.197892783238707,-0.00657018518185212,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
206525,0.214907624012231,-0.0112755928456962,0.214907624012232,0.200089190443736,0.214907624012232,0.199819305199949,0.214907624012232,0.211036474792316,0,0,0,0,0,0
206828,0.161404427444998,-0.00841414596756447,0.161404427444999,0.154238332384704,0.161404427444999,0.154375451282168,0.161404427444999,0.15722344921795,0,0,0,0,0,0
206929,0.258951476702366,-0.00912515497327251,0.188312889977202,0.21639108164645,0.215085884110012,0.232505846329605,0.2402677074878,0.247199292999635,0,0,0,0,0,0
207123,0.240623774207479,-0.00992537843375759,0.240623774207478,0.240623774207478,0.240623774207478,0.240623774207478,0.240623774207478,0.240623774207478,0,0,0,0,0,0
207426,0.197150344997031,-0.011613762207981,0.197150344997032,0.182223404926189,0.197150344997032,0.181862921316108,0.197150344997032,0.189722617063533,0,0,0,0,0,0
209127,0.205537060641361,-0.0101826995812354,0.195309186251435,0.2029033071887,0.195453531252906,0.202913265738981,0.195309186251435,0.2029033071887,0,0,0,0,0,0
209228,0.175632999776565,-0.0083647871514146,0.173574744268711,0.17294874723366,0.173492792442926,0.173025341492263,0.173574744268711,0.17294874723366,0,0,0,0,0,0
210415,0.169410627179753,-0.00940713386776559,0.169410627179753,0.169410627179753,0.169410627179753,0.169410627179753,0.169410627179753,0.169410627179753,0,0,0,0,0,0
211215,0.246376777412148,-0.0101218576881566,0.246376777412147,0.240761410485977,0.246376777412147,0.240216805601678,0.246376777412147,0.240761410485977,0,0,0,0,0,0
211316,0.206907277068931,-0.00815583451706691,0.1811149593488,0.189877842703066,0.181170216705721,0.189559797654743,0.188084645082057,0.193163439685812,0,0,0,0,0,0
211417,0.148610746913221,-0.0102564438746771,0.148081809772158,0.140800654463609,0.147921030971389,0.141104429496144,0.148081809772158,0.140800654463609,0,0,0,0,0,0
211619,0.219794286432548,-0.00774454529754555,0.196814846830508,0.210182728901301,0.196823412639731,0.210192392173473,0.208206623938846,0.215431895373438,0,0,0,0,0,0
211720,0.203283350399076,-0.00976373258966077,0.178544141199328,0.196816070678429,0.181559720253098,0.199019804055739,0.191906184362528,0.202237224896949,0,0,0,0,0,0
211821,0.167525432685956,-0.011589857727057,0.166103925932701,0.164896469639084,0.166118255637875,0.16502977733061,0.166103925932701,0.164896469639084,0,0,0,0,0,0
