subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
108020,0.121610034602076,138,1700,0.156981847851228,121,1482,0.0263143334285643,111,1371
108121,0.194995908483798,115,1426,0.145002709764048,95,1218,0.0904024604579492,107,1321
108323,0.192613998874085,115,1460,0.27943516530348,97,1235,0.145827938607183,138,1703
108525,0.193102632870775,143,1734,0.227273494463948,155,1932,0.253591531263054,864,23839
108828,0.211505783158577,129,1595,0.217018370340186,128,1634,0.144872163171502,161,2065
109123,0.174894445629246,129,1619,0.1686483368847,105,1322,0.0645804246136286,140,1772
109325,0.176757378468556,182,2203,0.291684167275383,111,1480,0.143182084219386,184,2396
109830,0.228972843120986,131,1606,0.165087476322601,109,1383,0.110175436037299,155,1994
110007,0.138420459173794,124,1548,0.249320005783546,122,1604,0.116627353110869,229,2730
110411,0.122660435738995,132,1655,0.174645600489695,134,1721,0.0796233531784591,178,2249
110613,0.187648894669348,137,1657,0.256532614784762,114,1511,0.125186404909543,204,2552
111009,0.160196770664411,143,1795,0.17050125036312,148,1847,0.115095769127435,132,1683
111211,0.165922982506962,126,1531,0.250731930486749,114,1507,0.156272574195842,175,2173
111312,0.199449072744103,144,1770,0.216634992236852,121,1541,0.122853003021038,127,1622
111413,0.1475302741557,152,1869,0.256698878704292,123,1557,0.0885362115135041,118,1571
111716,0.208433011045325,137,1727,0.17696195138854,135,1692,0.126934035010415,145,1896
112112,0.208551254272461,212,2560,0.224301631582756,140,1779,0.279386863376371,759,20871
112314,0.143220702972042,148,1808,0.231822674879656,195,2415,0.0950328194822767,140,1896
112516,0.159537856892521,131,1649,0.220651948698701,160,2098,0.150627031488165,217,2762
112920,0.167535304973074,138,1753,0.177425426989239,138,1747,0.062935837147901,99,1265
113215,0.159858462606081,125,1578,0.200652326042527,95,1229,0.144153574255578,150,1839
113316,0.264671468080801,139,1756,0.250424689762626,130,1682,0.0959448852132688,136,1714
113922,0.178093589152804,161,1972,0.249628298010381,109,1360,0.0806850345154049,148,1831
114217,0.153839288108103,169,2089,0.278231070176282,168,2143,0.227825728417881,689,14413
114318,0.171374769230769,129,1625,0.204517615614226,93,1198,0.216644659406969,554,12135
114419,0.190937373737374,132,1650,0.209633686665111,150,1888,0.0421386058429404,118,1442
114621,0.232976027307075,146,1786,0.295212516434748,157,1967,0.117303790656888,182,2240
114823,0.217988742254387,125,1566,0.207092190908572,118,1426,0.0665690444475962,129,1654
114924,0.212591866710871,123,1523,0.160611941223882,101,1270,0.0909033208899584,143,1764
115017,0.197775948548095,158,1959,0.222960994378474,129,1647,0.105184890765056,148,1910
