subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
106824,0.289318418230035,204,2384,0.418481289036034,580,6094,0.405913789318425,966,9922
107018,0.212568443349651,156,1783,0.392630378224754,544,6009,0.287562203732816,778,7865
107321,0.218280290786818,136,1644,0.538991791374689,761,7665,0.386933321814109,976,10035
107422,0.21393571204223,131,1513,0.439040398659724,787,8672,0.3298980724838,1003,10013
107725,0.117263216136009,126,1410,0.340386818491405,355,3844,0.149477780463747,367,4082
108020,0.202605059775389,155,1820,0.44356160867978,638,7013,0.449389818366746,1130,11567
108121,0.153018251949487,99,1116,0.31048839305706,318,3516,0.111217484095994,432,4746
108323,0.195207301027407,103,1134,0.411553756125633,559,6098,0.290994724451646,496,5215
108525,0.181510183294685,109,1316,0.464988692210025,528,5656,0.346846021918977,658,7313
108828,0.299884456618186,129,1610,0.43095497512641,558,6092,0.264211875056586,542,5875
109123,0.22644520086141,180,2184,0.4268178176,562,6250,0.428337362710692,959,9461
109325,0.271243229372774,173,2128,0.390839881704916,606,6669,0.342599465597726,892,9543
109830,0.189095626376121,126,1466,0.395195687949234,527,5631,0.275584582610214,640,7216
110007,0.167732041747173,146,1726,0.431799778580797,615,6726,0.517986306098773,1337,12531
110411,0.223007514485931,189,2194,0.358849794193009,449,5063,0.287914857477687,530,5829
110613,0.150677969999725,101,1161,0.38900321321034,483,5310,0.242824537870997,802,8494
111009,0.226465634879227,208,2518,0.381578855549971,582,6708,0.351071723896529,1139,12082
111211,0.1515035998822,92,1016,0.453367618442486,710,7748,0.270300561523437,582,6400
111312,0.206381366607631,127,1497,0.347234250300029,462,5166,0.334424663024474,1152,11863
111413,0.188928737766472,175,2133,0.414854351855497,537,5991,0.263351111716606,732,7370
111716,0.250269133930752,181,2283,0.473943760096967,776,8284,0.38496266722594,881,9061
112112,0.301568590886891,133,1657,0.400667457005856,640,6952,0.327727867993439,774,7911
112314,0.29435839303555,151,1821,0.423240356516284,476,5333,0.252455201142287,420,4626
112516,0.189834885908955,144,1555,0.471013498833382,712,7455,0.461528036433437,853,8150
112920,0.206035801130718,164,1961,0.407002550716794,675,7390,0.464517856287231,1235,12371
113215,0.203587563072431,163,1946,0.526872084548105,920,9800,0.484938166989803,1120,10521
113316,0.205976843894467,127,1467,0.569625670624276,987,10040,0.416583485594153,993,10581
113922,0.200537403835461,157,1906,0.325552003452583,503,5747,0.335458047737605,1050,11030
114217,0.214257465879915,134,1490,0.582351192053207,790,8118,0.692684994220072,1516,12214
114318,0.164161108106484,107,1290,0.288238517378563,425,4552,0.217264446853166,517,5745
114419,0.27409348076229,179,2116,0.455046665514647,610,6555,0.444304579795455,976,9672
114621,0.247121527119596,235,2798,0.455824994401293,685,7451,0.340324910700352,993,9659
114823,0.231993291646974,187,2073,0.442141646519439,647,6917,0.422382653466891,913,9294
115017,0.223579758393086,145,1847,0.499293950010502,824,8625,0.374544766401065,1224,12011
115219,0.169903393258745,102,1159,0.43446252575562,507,5543,0.246125855676394,367,4104
115320,0.181040868579703,121,1447,0.535757919448756,771,7903,0.343593380614653,645,7050
115825,0.197711419380375,177,2184,0.350493540394267,494,5409,0.464024931871782,1261,12062
116524,0.205208456934332,172,1897,0.4368474168274,543,5551,0.241615697125353,810,8984
116726,0.131798279764599,104,1175,0.396759571176947,565,6168,0.247596398267054,842,9074
117021,0.239636708286312,207,2495,0.361796587048942,514,5582,0.296898824276054,688,7207
117122,0.227582504052386,157,1864,0.408848663137647,629,7006,0.509964220429739,1247,11702
117324,0.172814656301861,92,1070,0.465624935677878,670,7043,0.265922896941197,658,6994
117930,0.260129885738323,151,1806,0.545258306801803,846,8544,0.540300564388388,1031,10124
118124,0.204408900659074,133,1592,0.39522870931983,604,7029,0.288275443694775,695,7445
118528,0.155885160781383,142,1601,0.436514390358577,547,5821,0.461028685887101,1038,10738
118730,0.207937991083829,103,1206,0.452313362656612,578,6340,0.432389769892014,907,8980
118831,0.24835573048289,199,2420,0.481332545300535,735,8091,0.393864342959871,748,7787
118932,0.225860923750083,221,2649,0.388016755888682,576,6297,0.339165536092189,1116,11019
119025,0.244379478621595,133,1709,0.365843408589181,513,5621,0.299095530055889,832,8348
119126,0.191859417997796,203,2426,0.416533132972577,710,7768,0.471977479642438,1317,12001
120212,0.256180351931965,220,2665,0.471214403714185,712,7818,0.502036464171887,1067,10741
120414,0.23117066311098,136,1657,0.403328342157414,620,6727,0.400245021200228,923,9028
120515,0.224304877687152,138,1569,0.583946467962101,728,7237,0.596149086999288,1191,10835
120717,0.254988492761724,144,1746,0.423317342450469,567,6052,0.404069650008728,975,9723
121416,0.211953892294286,149,1718,0.4693886445975,625,6638,0.325511606664175,672,7247
121618,0.20181542004557,146,1666,0.482219525505521,760,8034,0.407965197351486,1143,11455
121921,0.213632025850914,208,2584,0.429153989697842,601,6576,0.255758304297163,688,7686
